movie_title,cast,director,keywords,genres,comb
jurassic world,chris pratt bryce dallas howard irrfan khan vincent d'onofrio nick robinson,colin trevorrow,monster dna tyrannosaurus rex velociraptor island,action adventure science fiction thriller,monster dna tyrannosaurus rex velociraptor island action adventure science fiction thriller colin trevorrow chris pratt bryce dallas howard irrfan khan vincent d'onofrio nick robinson
mad max: fury road,tom hardy charlize theron hugh keays-byrne nicholas hoult josh helman,george miller,future chase post-apocalyptic dystopia australia,action adventure science fiction thriller,future chase post-apocalyptic dystopia australia action adventure science fiction thriller george miller tom hardy charlize theron hugh keays-byrne nicholas hoult josh helman
insurgent,shailene woodley theo james kate winslet ansel elgort miles teller,robert schwentke,based on novel revolution dystopia sequel dystopic future,adventure science fiction thriller,based on novel revolution dystopia sequel dystopic future adventure science fiction thriller robert schwentke shailene woodley theo james kate winslet ansel elgort miles teller
star wars: the force awakens,harrison ford mark hamill carrie fisher adam driver daisy ridley,j.j. abrams,android spaceship jedi space opera 3d,action adventure science fiction fantasy,android spaceship jedi space opera 3d action adventure science fiction fantasy j.j. abrams harrison ford mark hamill carrie fisher adam driver daisy ridley
furious 7,vin diesel paul walker jason statham michelle rodriguez dwayne johnson,james wan,car race speed revenge suspense car,action crime thriller,car race speed revenge suspense car action crime thriller james wan vin diesel paul walker jason statham michelle rodriguez dwayne johnson
the revenant,leonardo dicaprio tom hardy will poulter domhnall gleeson paul anderson,alejandro gonzã¡lez iã±ã¡rritu,father-son relationship rape based on novel mountains winter,western drama adventure thriller,father-son relationship rape based on novel mountains winter western drama adventure thriller alejandro gonzã¡lez iã±ã¡rritu leonardo dicaprio tom hardy will poulter domhnall gleeson paul anderson
terminator genisys,arnold schwarzenegger jason clarke emilia clarke jai courtney j.k. simmons,alan taylor,saving the world artificial intelligence cyborg killer robot future,science fiction action thriller adventure,saving the world artificial intelligence cyborg killer robot future science fiction action thriller adventure alan taylor arnold schwarzenegger jason clarke emilia clarke jai courtney j.k. simmons
the martian,matt damon jessica chastain kristen wiig jeff daniels michael peã±a,ridley scott,based on novel mars nasa isolation botanist,drama adventure science fiction,based on novel mars nasa isolation botanist drama adventure science fiction ridley scott matt damon jessica chastain kristen wiig jeff daniels michael peã±a
minions,sandra bullock jon hamm michael keaton allison janney steve coogan,kyle balda pierre coffin,assistant aftercreditsstinger duringcreditsstinger evil mastermind minions,family animation adventure comedy,assistant aftercreditsstinger duringcreditsstinger evil mastermind minions family animation adventure comedy kyle balda pierre coffin sandra bullock jon hamm michael keaton allison janney steve coogan
inside out,amy poehler phyllis smith richard kind bill hader lewis black,pete docter,dream cartoon imaginary friend animation kid,comedy animation family,dream cartoon imaginary friend animation kid comedy animation family pete docter amy poehler phyllis smith richard kind bill hader lewis black
spectre,daniel craig christoph waltz lã©a seydoux ralph fiennes monica bellucci,sam mendes,spy based on novel secret agent sequel james bond,action adventure crime,spy based on novel secret agent sequel james bond action adventure crime sam mendes daniel craig christoph waltz lã©a seydoux ralph fiennes monica bellucci
jupiter ascending,mila kunis channing tatum sean bean eddie redmayne douglas booth,lana wachowski lilly wachowski,jupiter space woman director 3d interspecies romance,science fiction fantasy action adventure,jupiter space woman director 3d interspecies romance science fiction fantasy action adventure lana wachowski lilly wachowski mila kunis channing tatum sean bean eddie redmayne douglas booth
ex machina,domhnall gleeson alicia vikander oscar isaac sonoya mizuno corey johnson,alex garland,dancing artificial intelligence helicopter distrust isolation,drama science fiction,dancing artificial intelligence helicopter distrust isolation drama science fiction alex garland domhnall gleeson alicia vikander oscar isaac sonoya mizuno corey johnson
pixels,adam sandler michelle monaghan peter dinklage josh gad kevin james,chris columbus,video game nerd alien attack 3d pixels,action comedy science fiction,video game nerd alien attack 3d pixels action comedy science fiction chris columbus adam sandler michelle monaghan peter dinklage josh gad kevin james
avengers: age of ultron,robert downey jr. chris hemsworth mark ruffalo chris evans scarlett johansson,joss whedon,marvel comic comic sequel superhero vision,action adventure science fiction,marvel comic comic sequel superhero vision action adventure science fiction joss whedon robert downey jr. chris hemsworth mark ruffalo chris evans scarlett johansson
